,title,year,recipients,num_recipients,motivation
0,The Nobel Prize in Physics,2018,[],0,"The 2018 Nobel Prize in Physics has not been awarded yet. It will be announced on Tuesday 2 October, 11:45 a.m. at the earliest."
1,The Nobel Prize in Chemistry,2018,[],0,"The 2018 Nobel Prize in Chemistry has not been awarded yet. It will be announced on Wednesday 3 October, 11:45 a.m. at the earliest."
2,The Nobel Prize in Physiology or Medicine,2018,[],0,"The 2018 Nobel Prize in Physiology or Medicine has not been awarded yet. It will be announced on Monday 1 October, 11:30 a.m. at the earliest."
3,The Nobel Prize in Literature,2018,[],0,The 2018 Nobel Prize in Literature has been postponed.
4,The Nobel Peace Prize,2018,[],0,"The 2018 Nobel Peace Prize has not been awarded yet. It will be announced on Friday 5 October, 11:00 a.m."
5,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2018,[],0,"The 2018 Prize in Economic Sciences has not been awarded yet. It will be announced on Monday 8 October, 11:45 a.m. at the earliest."
6,The Nobel Prize in Physics,2017,"['Rainer Weiss', 'Barry C. Barish', 'Kip S. Thorne']",3,“for decisive contributions to the LIGO detector and the observation of gravitational waves”
7,The Nobel Prize in Chemistry,2017,"['Jacques Dubochet', 'Joachim Frank', 'Richard Henderson']",3,“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”
8,The Nobel Prize in Physiology or Medicine,2017,"['Jeffrey C. Hall', 'Michael Rosbash', 'Michael W. Young']",3,“for their discoveries of molecular mechanisms controlling the circadian rhythm”
9,The Nobel Prize in Literature,2017,['Kazuo Ishiguro'],1,"“who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world”"
10,The Nobel Peace Prize,2017,['International Campaign to Abolish Nuclear Weapons (ICAN) '],1,“for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons”
11,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2017,['Richard H. Thaler'],1,“for his contributions to behavioural economics”
12,The Nobel Prize in Physics,2016,"['David J. Thouless', 'F. Duncan M. Haldane', 'J. Michael Kosterlitz']",3,“for theoretical discoveries of topological phase transitions and topological phases of matter”
13,The Nobel Prize in Chemistry,2016,"['Jean-Pierre Sauvage', 'Sir J. Fraser Stoddart', 'Bernard L. Feringa']",3,“for the design and synthesis of molecular machines”
14,The Nobel Prize in Physiology or Medicine,2016,['Yoshinori Ohsumi'],1,“for his discoveries of mechanisms for autophagy”
15,The Nobel Prize in Literature,2016,['Bob Dylan'],1,“for having created new poetic expressions within the great American song tradition”
16,The Nobel Peace Prize,2016,['Juan Manuel Santos'],1,“for his resolute efforts to bring the country’s more than 50-year-long civil war to an end”
17,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2016,"['Oliver Hart', 'Bengt Holmström']",2,“for their contributions to contract theory”
18,The Nobel Prize in Physics,2015,"['Takaaki Kajita', 'Arthur B. McDonald']",2,"“for the discovery of neutrino oscillations, which shows that neutrinos have mass”"
19,The Nobel Prize in Chemistry,2015,"['Tomas Lindahl', 'Paul Modrich', 'Aziz Sancar']",3,“for mechanistic studies of DNA repair”
20,The Nobel Prize in Physiology or Medicine,2015,"['William C. Campbell', 'Satoshi Ōmura', 'Youyou Tu']",3,“for their discoveries concerning a novel therapy against infections caused by roundworm parasites”
21,The Nobel Prize in Literature,2015,['Svetlana Alexievich'],1,"“for her polyphonic writings, a monument to suffering and courage in our time”"
22,The Nobel Peace Prize,2015,['National Dialogue Quartet '],1,“for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011”
23,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2015,['Angus Deaton'],1,"“for his analysis of consumption, poverty, and welfare”"
24,The Nobel Prize in Physics,2014,"['Isamu Akasaki', 'Hiroshi Amano', 'Shuji Nakamura']",3,“for the invention of efficient blue light-emitting diodes which has enabled bright and energy-saving white light sources”
25,The Nobel Prize in Chemistry,2014,"['Eric Betzig', 'Stefan W. Hell', 'William E. Moerner']",3,“for the development of super-resolved fluorescence microscopy”
26,The Nobel Prize in Physiology or Medicine,2014,"['John O’Keefe', 'May-Britt Moser', 'Edvard I. Moser']",3,“for their discoveries of cells that constitute a positioning system in the brain”
27,The Nobel Prize in Literature,2014,['Patrick Modiano'],1,“for the art of memory with which he has evoked the most ungraspable human destinies and uncovered the life-world of the occupation”
28,The Nobel Peace Prize,2014,"['Kailash Satyarthi', 'Malala Yousafzai']",2,“for their struggle against the suppression of children and young people and for the right of all children to education”
29,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2014,['Jean Tirole'],1,“for his analysis of market power and regulation”
30,The Nobel Prize in Physics,2013,"['François Englert', 'Peter W. Higgs']",2,"“for the theoretical discovery of a mechanism that contributes to our understanding of the origin of mass of subatomic particles, and which recently was confirmed through the discovery of the predicted fundamental particle, by the ATLAS and CMS experiments at CERN’s Large Hadron Collider”"
31,The Nobel Prize in Chemistry,2013,"['Martin Karplus', 'Michael Levitt', 'Arieh Warshel']",3,“for the development of multiscale models for complex chemical systems”
32,The Nobel Prize in Physiology or Medicine,2013,"['James E. Rothman', 'Randy W. Schekman', 'Thomas C. Südhof']",3,"“for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells”"
33,The Nobel Prize in Literature,2013,['Alice Munro'],1,“master of the contemporary short story”
34,The Nobel Peace Prize,2013,['Organisation for the Prohibition of Chemical Weapons (OPCW) '],1,“for its extensive efforts to eliminate chemical weapons”
35,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2013,"['Eugene F. Fama', 'Lars Peter Hansen', 'Robert J. Shiller']",3,“for their empirical analysis of asset prices”
36,The Nobel Prize in Physics,2012,"['Serge Haroche', 'David J. Wineland']",2,“for ground-breaking experimental methods that enable measuring and manipulation of individual quantum systems”
37,The Nobel Prize in Chemistry,2012,"['Robert J. Lefkowitz', 'Brian K. Kobilka']",2,“for studies of G-protein-coupled receptors”
38,The Nobel Prize in Physiology or Medicine,2012,"['Sir John B. Gurdon', 'Shinya Yamanaka']",2,“for the discovery that mature cells can be reprogrammed to become pluripotent”
39,The Nobel Prize in Literature,2012,['Mo Yan'],1,"“who with hallucinatory realism merges folk tales, history and the contemporary”"
40,The Nobel Peace Prize,2012,['European Union (EU) '],1,"“for over six decades contributed to the advancement of peace and reconciliation, democracy and human rights in Europe”"
41,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2012,"['Alvin E. Roth', 'Lloyd S. Shapley']",2,“for the theory of stable allocations and the practice of market design”
42,The Nobel Prize in Physics,2011,"['Saul Perlmutter', 'Brian P. Schmidt', 'Adam G. Riess']",3,“for the discovery of the accelerating expansion of the Universe through observations of distant supernovae”
43,The Nobel Prize in Chemistry,2011,['Dan Shechtman'],1,“for the discovery of quasicrystals”
44,The Nobel Prize in Physiology or Medicine,2011,"['Bruce A. Beutler', 'Jules A. Hoffmann', 'Ralph M. Steinman']",3,“for their discoveries concerning the activation of innate immunity”
45,The Nobel Prize in Literature,2011,['Tomas Tranströmer'],1,"“because, through his condensed, translucent images, he gives us fresh access to reality”"
