location,lat,lon
"Huntsville, Alabama",34.729847,-86.5859011
"Montgomery, Alabama",32.37742,-86.3091683
"Athens, Alabama",34.8045487,-86.9711698
"Auburn, Alabama",32.6098566,-85.4807825
"Jasper, Alabama",,
"Birmingham, Alabama",,
"Tanner, Alabama",,
"Alexander City, Alabama",,
"Enterprise, Alabama",,
"Gadsden, Alabama",,
"Jacksonville, Alabama",,
"Andalusia, Alabama",,
"Marion, Alabama",,
"Fairfield, Alabama",,
"Boaz, Alabama",,
"Wadley, Alabama",,
"Mobile, Alabama",,
"Troy, Alabama",,
"Dothan, Alabama",,
"Phenix, Alabama",,
"Tuskeegee, Alabama",,
"Tuscaloosa, Alabama",,
"Montevallo, Alabama",,
"Florence, Alabama",,
"Livingston, Alabama",,
"Utqiagvik, Alaska",,
"Anchorage, Alaska",,
"Fairbanks, Alaska",,
"Juneau , Alaska",,
"Pago Pago, American Samoa",,
"Tempe, Arizona",,
"Yuma, Arizona",,
"Tsaile, Arizona",,
"Prescott, Arizona",,
"Phoenix, Arizona",,
"Glendale, Arizona",,
"Kingman, Arizona",,
"Flagstaff, Arizona",,
"Tucson, Arizona",,
"Blytheville, Arkansas",,
"Jonesboro, Arkansas",,
"Newport, Arkansas",,
"Russellville, Arkansas",,
"Pocahontas, Arkansas",,
"Conway, Arkansas",,
"De Queen, Arkansas",,
"Searcy, Arkansas",,
"Arkadelphia, Arkansas",,
"Siloam Springs, Arkansas",,
"Batesville, Arkansas",,
"Hot Springs, Arkansas",,
"Harrison, Arkansas",,
"Bentonville, Arkansas",,
"El Dorado, Arkansas",,
"Magnolia, Arkansas",,
"Fayetteville, Arkansas",,
"Mena, Arkansas",,
"Morrilton, Arkansas",,
"Texarkana, Arkansas",,
"Fort Smith, Arkansas",,
"Little Rock, Arkansas",,
"Monticello, Arkansas",,
"Pine Bluff, Arkansas",,
"North Little Rock, Arkansas",,
"Clarksville, Arkansas",,
"San Francisco, California",,
"Lancaster, California",,
"Azusa, California",,
"Bakersfield, California",,
"La Mirada, California",,
"Riverside, California",,
"Pasadena, California",,
"Thousand Oaks, California",,
"San Luis Obispo, California",,
"Pomona, California",,
"Vallejo, California",,
"Camarillo, California",,
"Chico, California",,
"Carson, California",,
"Hayward, California",,
"Fullerton, California",,
"Long Beach, California",,
"Los Angeles, California",,
"Marina, California",,
"Sacramento, California",,
"San Bernardino, California",,
"San Marcos, California",,
"Turlock, California",,
"Orange, California",,
"Claremont, California",,
"Irvine, California",,
"Cypress, California",,
"San Rafael, California",,
"Torrance, California",,
"Quincy, California",,
"Los Altos, California",,
"Fresno, California",,
"Oakland, California",,
"Arcata, California",,
"Atherton, California",,
"Oceanside, California",,
"Modesto, California",,
"Monterey, California",,
"Belmont, California",,
"Malibu, California",,
"San Diego, California",,
"Whittier, California",,
"Moraga, California",,
"San Jose, California",,
"Santa Ana, California",,
"Santa Clara, California",,
"Santa Monica, California",,
"Redding, California",,
"San Bruno, California",,
"Fairfield, California",,
"Ronhert Park, California",,
"Chula Vista, California",,
"Stanford, California",,
"Stockton, California",,
"Berkeley, California",,
"Davis, California",,
"Irvine , California",,
"Merced, California",,
"Santa Barbara, California",,
"Santa Cruz, California",,
"La Verne, California",,
"Redlands, California",,
"Alamosa, Colorado",,
"Littleton, Colorado",,
"Lakewood, Colorado",,
"Colorado Springs, Colorado",,
"Grand Junction, Colorado",,
"Glenwood Springs, Colorado",,
"Golden, Colorado",,
"Fort Collins, Colorado",,
"Pueblo, Colorado",,
"Aurora, Colorado",,
"Denver, Colorado",,
"Durango, Colorado",,
"Westminster, Colorado",,
"Lamar, Colorado",,
"Fort Morgan, Colorado",,
"Sterling, Colorado",,
"La Junta, Colorado",,
"Trinidad, Colorado",,
"Air Force Academy, Colorado",,
"Boulder, Colorado",,
"Greeley, Colorado",,
"Gunnison, Colorado",,
"New Haven, Connecticut",,
"New Britain, Connecticut",,
"New London, Connecticut",,
"Windham, Connecticut",,
"Fairfield, Connecticut",,
"Waterbury, Connecticut",,
"Hamden, Connecticut",,
"Hartford, Connecticut",,
"Farmington, Connecticut",,
"Bridgeport, Connecticut",,
"Storrs, Connecticut",,
"West Hartford, Connecticut",,
"West Haven, Connecticut",,
"Middletown, Connecticut",,
"Danbury, Connecticut",,
"Dover, Delaware",,
"Georgetown, Delaware",,
"Stanton, Delaware",,
"Wilmington, Delaware",,
"Newark, Delaware",,
"New Castle, Delaware",,
"Orlando, Florida",,
"Largo, Florida",,
"Coconut Creek, Florida",,
"Miami, Florida",,
"Ave Maria, Florida",,
"Davie, Florida",,
"Tallahassee, Florida",,
"Casselberry, Florida",,
"New Port Richey, Florida",,
"Daytona Beach, Florida",,
"Perry, Florida",,
"Fort Lauderdale, Florida",,
"Port Charlotte, Florida",,
"Marianna, Florida",,
"Gainesville, Florida",,
"Ocala, Florida",,
"Miramar, Florida",,
"Maitland, Florida",,
"Cocoa , Florida",,
"Saint Petersburg, Florida",,
"Jacksonville, Florida",,
"Tampa, Florida",,
"Boca Raton, Florida",,
"St. Augustine, Florida",,
"Palm Coast, Florida",,
"Temple Terrace, Florida",,
"Lake City, Florida",,
"Fort Myers, Florida",,
"Melbourne, Florida",,
"Miami Gardens, Florida",,
"Hialeah, Florida",,
"Lakeland, Florida",,
"Port Saint Lucie, Florida",,
"Winter Park, Florida",,
"Quincy, Florida",,
"Pensacola, Florida",,
"Panama City, Florida",,
"West Palm Beach, Florida",,
"Immokalee, Florida",,
"Fort Pierce, Florida",,
"North Miami, Florida",,
"Sarasota, Florida",,
"Port St. Lucie, Florida",,
"Eustis, Florida",,
"Leesburg, Florida",,
"Naples, Florida",,
"Madison, Florida",,
"Niceville, Florida",,
"Fort Walton Beach, Florida",,
"Winter Garden, Florida",,
"Lake Worth, Florida",,
"St. Petersburg, Florida",,
"Winter Haven, Florida",,
"Milton, Florida",,
"Live Oak, Florida",,
"Saint Leo, Florida",,
"Sanford, Florida",,
"Hollywood, Florida",,
"Deerfield Beach, Florida",,
"Avon Park, Florida",,
"Palatka, Florida",,
"Bradenton, Florida",,
"DeLand, Florida",,
"Key West, Florida",,
"Trinity, Florida",,
"Lauderhill, Florida",,
"Lake Wales, Florida",,
"Babson Park, Florida",,
"Inverness, Florida",,
"Tifton, Georgia",,
"Decatur, Georgia",,
"Albany, Georgia",,
"Atlanta, Georgia",,
"Augusta, Georgia",,
"Mount Berry, Georgia",,
"Gainesville, Georgia",,
"Morrow, Georgia",,
"Brunswick, Georgia",,
"Columbus, Georgia",,
"Lookout Mountain, Georgia",,
"Dalton, Georgia",,
"Swainsboro, Georgia",,
"Franklin Springs, Georgia",,
"Fort Valley, Georgia",,
"Milledgeville, Georgia",,
"Lawrenceville, Georgia",,
"Rome, Georgia",,
"Statesboro, Georgia",,
"Americus, Georgia",,
"Barnesville, Georgia",,
"Kennesaw, Georgia",,
"LaGrange, Georgia",,
"Macon, Georgia",,
"Demorest, Georgia",,
"Savannah, Georgia",,
"Douglas, Georgia",,
"Athens, Georgia",,
"Dahlonega, Georgia",,
"Carrollton, Georgia",,
"Valdosta, Georgia",,
"Young Harris, Georgia",,
"Mangilao, Guam",,
"Laie, Hawaii",,
"Honolulu, Hawaii",,
"Pearl City, Hawaii",,
"Kahului, Hawaii",,
"Hilo, Hawaii",,
"Kapolei, Hawaii",,
"Boise , Idaho",,
"Rexburg, Idaho",,
"Caldwell, Idaho",,
"Twin Falls, Idaho",,
"Pocatello, Idaho",,
"Lewiston, Idaho",,
"Coeur d'Alene, Idaho",,
"Nampa, Idaho",,
"Moscow, Idaho",,
"Rock Island, Illinois",,
"Aurora, Illinois",,
"Lisle, Illinois",,
"Carlinville, Illinois",,
"Peoria, Illinois",,
"Chicago, Illinois",,
"River Forest, Illinois",,
"Charleston, Illinois",,
"Elmhurst, Illinois",,
"Eureka, Illinois",,
"University Park, Illinois",,
"Greenville, Illinois",,
"Jacksonville, Illinois",,
"Normal, Illinois",,
"Bloomington, Illinois",,
"Centralia, Illinois",,
"Galesburg, Illinois",,
"Lake Forest, Illinois",,
"Mattoon, Illinois",,
"Romeoville, Illinois",,
"Lebanon, Illinois",,
"Downers Grove, Illinois",,
"Decatur, Illinois",,
"Monmouth, Illinois",,
"Naperville, Illinois",,
"Dekalb, Illinois",,
"Evanston, Illinois",,
"Bourbonnais, Illinois",,
"Champaign, Illinois",,
"Elsah, Illinois",,
"Quincy, Illinois",,
"Rockford, Illinois",,
"Harrisburg, Illinois",,
"Carbondale, Illinois",,
"Edwardsville, Illinois",,
"Belleville, Illinois",,
"Springfield, Illinois",,
"Macomb, Illinois",,
"Wheaton, Illinois",,
"Anderson, Indiana",,
"Muncie, Indiana",,
"Indianapolis, Indiana",,
"Greencastle, Indiana",,
"Richmond, Indiana",,
"Franklin, Indiana",,
"Goshen, Indiana",,
"Winona Lake, Indiana",,
"Hanover, Indiana",,
"Terre Haute, Indiana",,
"Bloomington, Indiana",,
"Kokomo, Indiana",,
"Gary, Indiana",,
"South Bend, Indiana",,
"New Albany, Indiana",,
"North Manchester, Indiana",,
"Oakland City, Indiana",,
"West Lafayette, Indiana",,
"Columbus, Indiana",,
"Lafayette, Indiana",,
"Vincennes, Indiana",,
"Fort Wayne, Indiana",,
"Hammond, Indiana",,
"Notre Dame, Indiana",,
"Upland, Indiana",,
"Angola, Indiana",,
"Evansville, Indiana",,
"Valparaiso, Indiana",,
"Crawfordsville, Indiana",,
"Storm Lake, Iowa",,
"Pella, Iowa",,
"Dubuque, Iowa",,
"Cedar Rapids, Iowa",,
"Mount Vernon, Iowa",,
"Sioux Center, Iowa",,
"Des Moines, Iowa",,
"Davenport, Iowa",,
"Iowa Falls, Iowa",,
"Lamoni, Iowa",,
"Grinnell, Iowa",,
"Waterloo, Iowa",,
"Ames, Iowa",,
"Mount Pleasant, Iowa",,
"Decorah, Iowa",,
"Marshalltown, Iowa",,
"Sioux City, Iowa",,
"Orange City, Iowa",,
"Indianola, Iowa",,
"Iowa City, Iowa",,
"Cedar Falls, Iowa",,
"Fayette, Iowa",,
"Waverly, Iowa",,
"Oskaloosa, Iowa",,
"Iola, Kansas",,
"Baldwin City, Kansas",,
"Atchison, Kansas",,
"Lindsborg, Kansas",,
"North Newton, Kansas",,
"El Dorado, Kansas",,
"McPherson, Kansas",,
"Dodge City, Kansas",,
"Emporia, Kansas",,
"Hays, Kansas",,
"Lawrence, Kansas",,
"Hesston, Kansas",,
"Hutchinson, Kansas",,
"Overland Park, Kansas",,
"Manhattan, Kansas",,
"Salina, Kansas",,
"Parsons, Kansas",,
"Whichita, Kansas",,
"Pittsburg, Kansas",,
"Winfield, Kansas",,
"Sterling, Kansas",,
"Leavenworth, Kansas",,
"Topeka, Kansas",,
"Wichita, Kansas",,
"Pippa Passes, Kentucky",,
"Wilmore, Kentucky",,
"Ashland, Kentucky",,
"Florence, Kentucky",,
"Louisville, Kentucky",,
"Berea, Kentucky",,
"Prestonsburg, Kentucky",,
"Lexington, Kentucky",,
"Owensboro, Kentucky",,
"Campbellsville, Kentucky",,
"Danville, Kentucky",,
"Pineville, Kentucky",,
"Richmond, Kentucky",,
"Elizabethtown, Kentucky",,
"Hyden, Kentucky",,
"Hazard, Kentucky",,
"Georgetown, Kentucky",,
"Henderson, Kentucky",,
"Hopkinsville, Kentucky",,
"Grayson, Kentucky",,
"Frankfort, Kentucky",,
"Columbia, Kentucky",,
"Madisonville, Kentucky",,
"Maysville, Kentucky",,
"Midway, Kentucky",,
"Morehead, Kentucky",,
"Murray, Kentucky",,
"Highland Heights, Kentucky",,
"Somerset, Kentucky",,
"Bowling Green, Kentucky",,
"Cumberland, Kentucky",,
